street_id,street_prefix,street_name,terittory_id
_ul1286,UL.,TEATRALNA,22723
_ul1287,UL.,WAŁOWA,23586
_ul1288,UL.,WANDY,23611
_ul1289,PL.,TEATRALNY,22725
_ul1290,UL.,WARCIAŃSKA,23637
_ul1291,UL.,WARMIŃSKA,23663
_ul1292,UL.,TENISOWA,22744
_ul1293,UL.,WARSZAWSKA,23682
_ul1294,UL.,TERENOWA,22757
_ul1295,UL.,WARSZTATOWA,23695
_ul1296,UL.,WARZYWNICZA,23714
_ul1297,UL.,TĘCZOWA,22777
_ul1298,UL.,WATOWA,23744
_ul1299,UL.,WEJHEROWSKA,23842
_ul1300,UL.,TKACKA,22794
_ul1301,UL.,TOKARSKA,22824
_ul1302,UL.,WEŁNIANA,23850
_ul1303,UL.,WESOŁA,23884
_ul1304,UL.,TOMASZOWSKA,22856
_ul1305,PL.,WESTERPLATTE,23895
_ul1306,UL.,TOPOLOWA,22880
_ul1307,UL.,WĘDKARZY,23914
_ul1308,UL.,WĘDROWCÓW,23915
_ul1309,UL.,WĘGIERSKA,23923
_ul1310,UL.,WSCHOWSKA,24880
_ul1311,UL.,WSZYSTKICH ŚWIĘTYCH,24895
_ul1312,UL.,WYBOISTA,24910
_ul1313,UL.,WĘGOBORSKA,23938
_ul1314,UL.,WYGODNA,24984
_ul1315,UL.,WYLOTOWA,25007
_ul1316,UL.,WYSOKA,25067
_ul1317,UL.,WIADUKTOWA,23961
_ul1318,UL.,WYSTAWOWA,25088
_ul1319,AL.,WIĄZOWA,23982
_ul1320,UL.,WIDAWSKA,23999
_ul1321,UL.,WIDŁAKOWA,24004
_ul1322,UL.,WIDNA,24006
_ul1323,UL.,WIDOK,24011
_ul1324,UL.,WIECZORNA,24039
_ul1325,UL.,WIEDEŃSKA,24044
_ul1326,UL.,WIEJSKA,24048
_ul1327,UL.,WIELETÓW,24055
_ul1328,UL.,WIELKA,24069
_ul1329,UL.,WIELKOPOLSKA,24096
_ul1330,UL.,WIELUŃSKA,24117
_ul1331,UL.,HELSKA,06587
_ul1332,UL.,HENRYKA BRODATEGO,06600
_ul1333,UL.,HENRYKA POBOŻNEGO,06602
_ul1334,UL.,HENRYKA PROBUSA,06604
_ul1335,UL.,HENRYKOWSKA,06607
_ul1336,UL.,HIPPICZNA,06665
_ul1337,AL.,JANA III SOBIESKIEGO,20428
_ul1338,UL.,CZERWONYCH MAKÓW,03448
_ul1339,UL.,CZESKA,03450
_ul1340,UL.,CZĘSTOCHOWSKA,03458
_ul1341,UL.,CZOŁGISTÓW,03468
_ul1342,UL.,CZYSTA,03513
_ul1343,UL.,CZYTANKOWA,03517
_ul1344,UL.,ĆWICZEBNA,03539
_ul1345,UL.,DALEKA,03557
_ul1346,UL.,DALEMIŃCÓW,03561
_ul1347,UL.,DALIMIRA,03565
_ul1348,UL.,DALIOWA,03566
_ul1349,UL.,DARŁOWSKA,03616
_ul1350,UL.,DĄBRÓWKI,03701
_ul1351,UL.,DEKARSKA,03726
_ul1352,UL.,DERENIOWA,03773
_ul1353,UL.,DESANTOWA,03779
_ul1354,AL.,DĘBOWA,03810
_ul1355,UL.,DŁUGA,03839
_ul1356,UL.,DŁUGOPOLSKA,03847
_ul1357,UL.,DOBRA,03928
_ul1358,UL.,DOBROSZYCKA,03954
_ul1359,UL.,DOBRZAŃSKA,03973
_ul1360,UL.,DOBRZYŃSKA,03995
_ul1361,UL.,DOJAZD,04001
_ul1362,UL.,DOLNA,04034
_ul1363,UL.,DOLNOBRZESKA,04049
_ul1364,UL.,DOMASŁAWSKA,04088
_ul1365,UL.,DOROTY,04132
_ul1366,UL.,DOŻYNKOWA,04151
_ul1367,UL.,DROGOSŁAWICKA,04245
_ul1368,UL.,DRÓŻNICZA,04272
_ul1369,UL.,DRZEWNA,04308
_ul1370,UL.,DUBROWNICKA,04341
_ul1371,UL.,ŚWIĘTEGO DUCHA,04346
_ul1372,UL.,DUŃSKA,04405
_ul1373,UL.,DUSZNICKA,04414
_ul1374,UL.,DWORCOWA,04434
_ul1375,UL.,DYREKCYJNA,04526
_ul1376,UL.,DZIADOSZAŃSKA,04565
_ul1377,UL.,GLINIANA,05559
_ul1378,UL.,GLIWICKA,05583
_ul1379,UL.,GŁOGOWSKA,05614
_ul1380,UL.,GŁOŚNA,05621
_ul1381,UL.,DZIAŁDOWSKA,04568
_ul1382,UL.,DZIAŁKOWA,04572
_ul1383,UL.,DZIARSKA,04594
_ul1384,UL.,DZIELNA,04626
_ul1385,UL.,DZIERŻONIOWSKA,04649
_ul1386,UL.,DZIWNOWSKA,04712
_ul1387,UL.,EKONOMICZNA,04750
_ul1388,UL.,EKSPRESOWA,04754
_ul1389,UL.,ELBLĄSKA,04758
_ul1390,UL.,ELEMENTARZOWA,04775
_ul1391,UL.,ELŻBIETY,04792
_ul1392,UL.,EŁCKA,04794
_ul1393,UL.,ENERGETYCZNA,04801
_ul1394,UL.,ESTOŃSKA,04833
_ul1395,UL.,ETNOGRAFÓW,04839
_ul1396,UL.,FABRYCZNA,04863
_ul1397,UL.,FARNA,04907
_ul1398,UL.,FASOLOWA,04913
_ul1399,UL.,FILOMATÓW,05010
_ul1400,UL.,FIOLETOWA,05025
_ul1401,UL.,FIZYLIERSKA,05055
_ul1402,UL.,FLISACKA,05069
_ul1403,UL.,FOLWARCZNA,05109
_ul1404,UL.,FORTECZNA,05133
_ul1405,UL.,FORTOWA,05139
_ul1406,UL.,KLACZKI,08471
_ul1407,UL.,PRZERWY-TETMAJERA,17755
_ul1408,UL.,BEYZYMA,01116
_ul1409,UL.,ROOSEVELTA,18857
_ul1410,UL.,SZAFERA,21709
_ul1411,BULW.,ZWIERZYCKIEGO,47127
_ul1412,UL.,KUTRZEBY,10507
_ul1413,UL.,FRYCZA-MODRZEWSKIEGO,05193
_ul1414,UL.,TRAUGUTTA,22963
_ul1415,AL.,KOCHANOWSKIEGO,08726
_ul1416,UL.,KRASIŃSKIEGO,09848
_ul1417,UL.,HAUKEGO-BOSAKA,06554
_ul1418,UL.,WYCZÓŁKOWSKIEGO,24963
_ul1419,UL.,LOMPY,11249
_ul1420,UL.,MODRZEJEWSKIEJ,13180
_ul1421,UL.,DZIERŻONIA,04648
_ul1422,UL.,KIELECKA,08379
_ul1423,AL.,AKACJOWA,00156
_ul1424,UL.,ANTONIEGO,00351
_ul1425,UL.,MONTERSKA,13255
_ul1426,MOST,MIESZCZAŃSKI,13347
_ul1427,MOST,WARSZAWSKI,13370
_ul1428,UL.,MYSZKOWSKA,13548
_ul1429,UL.,NAMYSŁOWSKA,13972
_ul1430,UL.,NEKTAROWA,14073
_ul1431,UL.,NORWESKA,14316
_ul1432,UL.,NOŻOWNICZA,14540
_ul1433,UL.,ODRODZENIA POLSKI,14757
_ul1434,UL.,OŁOWIANA,15035
_ul1435,UL.,ORLA,15141
_ul1436,UL.,BALLADYNY,00639
_ul1437,UL.,BARYCKA,00836
_ul1438,UL.,BERNARDYŃSKA,01087
_ul1439,UL.,PRZESKOK,17763
_ul1440,UL.,PUCKA,18079
_ul1441,UL.,RACŁAWICKA,18273
_ul1442,UL.,RAKOWA,18425
_ul1443,UL.,REJONOWA,18568
_ul1444,UL.,ROLNICZA,18821
_ul1445,SKWER,"RUCHU OPORU ""OLIMP""",47137
_ul1446,UL.,ZAGAJE,25341
_ul1447,UL.,ZALEWOWA,25496
_ul1448,UL.,ZATORSKA,25741
_ul1449,UL.,ZĄBKOWICKA,25881
_ul1450,UL.,ZIEMOWITA,26129
_ul1451,UL.,ZUCHOWA,26269
_ul1452,UL.,ŻARSKA,26409
_ul1453,UL.,ŻÓŁTA,26532
_ul1454,UL.,ŻYWOPŁOTOWA,26645
_ul1455,UL.,BRACI HOFMANNÓW,30354
_ul1456,MOST,ŚWIĄTNICKI,32066
_ul1457,UL.,POLONII WROCŁAWSKIEJ,32793
_ul1458,UL.,SAMBORSKA,19461
_ul1459,UL.,SĄSIEDZKA,19585
_ul1460,UL.,SIATKARZY,19750
_ul1461,UL.,JAWORSKIEGO,39310
_ul1462,UL.,DĄBROWSKIEJ,03691
